key,lang,status,message
"Garmin:010-02641-13",EN,ERROR,"Missing App Key in Profile"
"Apple:MXP63DN/A",EN,ERROR,"Missing App Key in Profile"
"Apple:MTJV3DN/A",EN,ERROR,"Missing App Key in Profile"
"Apple:MWW63DN/A",EN,ERROR,"Missing App Key in Profile"
"Deltaco Gaming:GAM-128",EN,ERROR,"Missing App Key in Profile"
"Deltaco Gaming:GAM-030-W",EN,ERROR,"Missing App Key in Profile"
"Jabra:25089-899-899-01",EN,ERROR,"Missing App Key in Profile"
"Jabra:5399-823-389-01",EN,ERROR,"Missing App Key in Profile"
"Philips:TAG5106BK/00",EN,ERROR,"Missing App Key in Profile"
"Philips:SHE2305WT/00",EN,ERROR,"Missing App Key in Profile"
"Philips:SHE2405PP/00",EN,ERROR,"Missing App Key in Profile"
